,wavelength_-1.0V,-1.0V,wavelength_-0.5V,-0.5V,wavelength_0.0V,0.0V,wavelength_0.5V,0.5V,wavelength_1.0V,1.0V,wavelength_1.5V,1.5V,wavelength_2.0V,2.0V,wavelength_2.5V,2.5V,wavelength_3.0V,3.0V
8438,1578.4147669999998,-41.386772482369544,1578.4149870000006,-41.37786498131149,1578.4151807228905,-41.86709978271123,1578.4151900000004,-41.650179254900706,1578.4153350000001,-42.02491527663337,1578.4154849999998,-42.258047741056956,1578.4120650000002,-41.48145187640537,1578.3979450000004,-42.494036970886505,1578.39813,-42.30417138545481
8439,1578.4158360000013,-41.09001336677583,1578.4160620000005,-41.42567376566113,1578.4162493975919,-42.00792734904538,1578.4162549999996,-41.917809296244386,1578.4164100000003,-41.76358335179502,1578.416565,-41.66319351187135,1578.413125,-41.83211355822082,1578.3989500000002,-41.92780022607561,1578.399105,-42.71194396116185
8440,1578.4169590000006,-41.19511070665113,1578.4171829999998,-41.549461031797,1578.417375903615,-41.837755332959084,1578.41738,-41.78908607441523,1578.41753,-42.526255833971994,1578.4176799999998,-42.15420448299371,1578.4142100000004,-42.64925899086718,1578.3998750000003,-41.975530881950085,1578.4000500000002,-42.25766235733974
8441,1578.4181339999998,-41.4347417883304,1578.418360999999,-41.429190731865376,1578.4185506024091,-41.759264545818056,1578.4185499999999,-42.11933358939658,1578.4186900000004,-42.404309763152,1578.418865,-41.92754100227256,1578.4153150000002,-41.63628851266882,1578.400725,-42.40591677462862,1578.4008900000001,-42.29350875326563
8442,1578.4193329999991,-41.3030425264792,1578.4195549999993,-41.673633663525294,1578.4197493975892,-42.08250729092549,1578.4197450000001,-41.32359191300248,1578.4198900000001,-41.5320719859375,1578.4200599999997,-41.722369634409624,1578.416435,-41.94064792131277,1578.4015250000004,-41.857423612986864,1578.401695,-42.28170405701421
8443,1578.4205439999998,-41.04505438136072,1578.4207649999996,-41.35259999776657,1578.4209566265072,-42.01525861764341,1578.4209449999996,-41.70643981766068,1578.4210949999997,-41.10856226133565,1578.4212650000002,-42.013223684538914,1578.4175450000005,-42.028516655344156,1578.4022800000002,-41.61322330404015,1578.40244,-41.97676659679892
8444,1578.4217630000003,-41.17456408303802,1578.4219929999997,-41.59934664787788,1578.4221783132537,-41.8343435119325,1578.4221699999996,-41.82581544171548,1578.4223299999999,-42.67866801200116,1578.4224950000003,-42.16236107320217,1578.4186650000001,-42.11748718273363,1578.4029949999997,-43.09106419607992,1578.4031599999998,-41.77172787496331
8445,1578.4229999999995,-41.29312685887904,1578.4232120000001,-41.42354927786531,1578.423406024096,-41.81151566452252,1578.4234000000001,-42.350619647157224,1578.4235700000004,-42.02491527663337,1578.4237249999996,-42.095259249479355,1578.4197950000002,-41.598516146382835,1578.403715,-41.66974309060318,1578.4038750000002,-42.46642803273731
8446,1578.4242039999988,-41.225928121671835,1578.424423,-41.35241254153477,1578.4246132530113,-41.85186250871439,1578.42461,-41.58794716498025,1578.42478,-41.58651878227728,1578.4249200000006,-41.53102893894279,1578.4209050000004,-42.46768391713469,1578.40443,-42.17644448328817,1578.4045950000004,-42.426330941462716
8447,1578.425386,-41.17426484981674,1578.4256010000004,-41.4429261197739,1578.4257975903624,-41.52322529961867,1578.4257999999998,-41.66828206765746,1578.4259500000003,-41.868842925521065,1578.4261000000001,-41.671171473306146,1578.422015,-41.97591626566731,1578.4051600000003,-42.39801164664666,1578.4053399999998,-42.27804388393107
